iter	Passed	Remaining
0	58	29386
1	61	15299
2	62	10423
3	64	7975
4	66	6569
5	68	5604
6	69	4901
7	71	4380
8	72	3975
9	74	3644
10	75	3374
11	77	3161
12	79	2975
13	80	2808
14	82	2668
15	84	2544
16	86	2458
17	88	2359
18	89	2268
19	91	2187
20	92	2110
21	93	2040
22	96	1998
23	98	1943
24	99	1892
25	101	1843
26	102	1798
27	104	1757
28	105	1717
29	107	1680
30	108	1645
31	110	1615
32	111	1583
33	113	1555
34	115	1528
35	116	1503
36	118	1482
37	119	1458
38	121	1433
39	122	1410
40	124	1388
41	125	1368
42	126	1348
43	128	1328
44	129	1309
45	131	1295
46	132	1278
47	134	1263
48	135	1247
49	136	1232
50	139	1224
51	140	1211
52	142	1198
53	143	1185
54	145	1173
55	146	1161
56	148	1150
57	149	1139
58	150	1126
59	152	1115
60	153	1104
61	154	1093
62	156	1085
63	157	1076
64	159	1067
65	160	1057
66	162	1047
67	163	1038
68	164	1028
69	166	1020
70	167	1011
71	168	1003
72	170	995
73	171	987
74	173	980
75	174	973
76	176	967
77	177	962
78	179	955
79	180	949
80	182	943
81	183	937
82	185	930
83	186	925
84	188	919
85	189	913
86	191	907
87	201	942
88	203	939
89	205	934
90	206	928
91	207	922
92	209	916
93	210	910
94	212	904
95	213	899
96	215	894
97	216	889
98	218	886
99	220	881
100	221	875
101	223	870
102	224	865
103	225	860
104	227	855
105	229	852
106	230	847
107	232	842
108	233	837
109	235	833
110	236	829
111	238	825
112	239	821
113	241	816
114	242	812
115	244	808
116	245	804
117	247	800
118	248	795
119	250	792
120	252	790
121	253	786
122	255	782
123	257	779
124	258	775
125	259	770
126	261	766
127	262	762
128	264	759
129	265	755
130	266	751
131	268	747
132	269	744
133	271	742
134	274	742
135	277	742
136	279	740
137	281	737
138	282	734
139	284	731
140	286	729
141	288	727
142	290	724
143	291	721
144	293	719
145	295	716
146	297	714
147	299	711
148	300	708
149	301	704
150	303	700
151	304	697
152	306	694
153	307	690
154	308	687
155	310	684
156	311	680
157	313	678
158	315	675
159	316	672
160	318	669
161	319	666
162	321	664
163	322	661
164	324	658
165	326	657
166	327	653
167	329	650
168	330	647
169	332	644
170	333	641
171	335	639
172	336	636
173	338	633
174	339	630
175	341	627
176	342	625
177	344	622
178	345	619
179	346	616
180	348	613
181	349	610
182	350	607
183	352	605
184	353	602
185	355	599
186	356	596
187	357	593
188	359	591
189	360	588
190	361	585
191	363	583
192	364	580
193	366	578
194	368	575
195	369	573
196	371	570
197	372	568
198	374	565
199	375	563
200	376	560
201	378	557
202	379	555
203	380	552
204	382	550
205	383	547
206	385	545
207	386	542
208	387	540
209	389	537
210	390	535
211	392	532
212	393	530
213	395	528
214	396	525
215	397	523
216	399	520
217	400	518
218	401	515
219	403	513
220	404	510
221	405	508
222	407	505
223	408	503
224	409	501
225	411	498
226	412	496
227	414	494
228	415	491
229	417	489
230	418	487
231	419	484
232	420	482
233	422	480
234	423	477
